"Occurrences","Word","Length","Freq_HAL","Log_Freq_HAL"
"1","synergistic","11","284","5.649"
"1","synonymous","10","951","6.858"
"1","syntactical","11","114","4.736"
"1","synthesis","9","6,742","8.816"
"1","synthesized","11","2,709","7.904"
"1","synthesizer","11","1,390","7.237"
"1","Syria","5","2,033","7.617"
"1","system","6","439,448","12.993"
"1","tab","3","9,209","9.128"
"1","tabernacle","10","2,091","7.645"
"1","tabernacles","11","50","3.912"
"1","table","5","56,081","10.935"
"1","table's","7","111","4.710"
"1","tablecloths","11","47","3.850"
"1","tabloid","7","1,102","7.005"
"1","tabular","7","293","5.680"
"1","tacit","5","462","6.136"
"1","tacky","5","909","6.812"
"1","tact","4","754","6.625"
"1","tactful","7","152","5.024"
"1","tactical","8","4,216","8.347"
"1","tactics","7","7,483","8.920"
"1","tactile","7","517","6.248"
"1","tactual","7","0","0.000"
"1","tadpole","7","436","6.078"
"1","taffy","5","147","4.990"
"1","tag","3","20,783","9.942"
"1","tagging","7","483","6.180"
"1","tags","4","3,768","8.234"
"1","Tahitian","8","65","4.174"
"1","tailor","6","1,778","7.483"
"1","tainted","7","998","6.906"
"1","Taipei","6","1,606","7.382"
"1","Taiwanese","9","2,474","7.814"
"1","take","4","330,816","12.709"
"1","takeoffs","8","125","4.828"
"1","taker","5","659","6.491"
"1","taking","6","70,534","11.164"
"1","talc","4","131","4.875"
"1","talcum","6","89","4.489"
"1","talebearer","10","120","4.787"
"1","taleteller","10","0","0.000"
"1","talisman","8","2,421","7.792"
"1","talked","6","17,380","9.763"
"1","talker","6","323","5.778"
"1","talkie","6","237","5.468"
"1","talking","7","78,552","11.272"
"1","talks","5","13,419","9.504"
"1","tallyho","7","2","0.693"
"1","tallyman","8","2","0.693"
"1","Talmud","6","1,089","6.993"
"1","tamale","6","43","3.761"
"1","tang","4","2,556","7.846"
"1","tangency","8","36","3.584"
"1","tangent","7","1,299","7.169"
"1","tangential","10","520","6.254"
"1","tangents","8","217","5.380"
"1","tangerine","9","426","6.054"
"1","tangibly","8","42","3.738"
"1","tango","5","962","6.869"
"1","tangy","5","253","5.533"
"1","tannery","7","120","4.787"
"1","tannin","6","96","4.564"
"1","tantalize","9","45","3.807"
"1","tantalizing","11","222","5.403"
