"","Sub_ID","Trial","Type","D_RT","D_Word","Outlier","D_Zscore","Correct"
"1",157,1,1,"710","browse","false",-0.437,1
"2",67,1,1,"1,094","refrigerant","false",0.825,1
"3",120,1,1,"587","gaining","false",-0.645,1
"4",21,1,1,"984","cheerless","false",0.025,1
"5",236,1,1,"577","pattered","false",-0.763,1
"6",236,2,1,"715","conjures","false",-0.364,1
"7",236,5,1,"826","censorship","false",-0.043,1
"8",236,6,1,"928","beckon","false",0.251,1
"9",236,8,1,"1,047","superscribe","false",0.595,1
"10",236,10,1,"1,296","husbandry","false",1.315,1
"11",236,12,1,"1,452","nitwit","false",1.766,1
"12",236,13,1,"674","factor","false",-0.483,1
"13",236,17,1,"782","intuitively","false",-0.17,1
"14",236,18,1,"1,469","precipitating","false",1.815,1
"15",236,19,1,"785","pianists","false",-0.162,1
"16",236,20,1,"1,007","redistribute","false",0.48,1
"17",236,21,1,"548","lifer","false",-0.847,1
"18",236,26,1,"740","translucent","false",-0.292,1
"19",236,28,1,"1,515","stooges","false",1.948,1
"20",236,29,1,"746","punctual","false",-0.275,1
"21",236,30,1,"606","narrated","false",-0.679,1
"22",236,31,1,"588","unanswerable","false",-0.731,1
"23",236,33,1,"1,011","staunchest","false",0.491,1
"24",236,35,1,"669","dartboard","false",-0.497,1
"25",236,36,1,"1,112","Hamilton's","false",0.783,1
"26",236,37,1,"714","taxidermy","false",-0.367,1
"27",236,38,1,"621","aggressively","false",-0.636,1
"28",236,39,1,"625","horoscope","false",-0.624,1
"29",236,40,1,"502","slob","false",-0.98,1
"30",236,43,1,"733","longshoremen's","false",-0.312,1
"31",236,46,1,"876","laundered","false",0.101,1
"32",236,49,1,"1,391","oversimplification","false",1.589,1
"33",236,51,1,"1,068","Pooh","false",0.656,1
"34",236,53,1,"698","knocking","false",-0.413,1
"35",236,54,1,"917","omnibus","false",0.22,1
"36",236,56,1,"1,075","blips","false",0.676,1
"37",236,57,1,"831","curriculum","false",-0.029,1
"38",236,59,1,"1,115","lustily","false",0.792,1
"39",236,64,1,"755","waging","false",-0.249,1
"40",236,65,1,"533","floors","false",-0.89,1
"41",157,3,1,"679","scandalized","false",-0.557,1
"42",157,7,1,"596","cabinet","false",-0.879,1
"43",157,8,1,"777","Wilfred","false",-0.178,1
"44",157,10,1,"505","valve","false",-1.231,1
"45",157,11,1,"644","reliance","false",-0.693,1
"46",157,12,1,"444","greenly","false",-1.467,1
"47",157,13,1,"560","sphincter","false",-1.018,1
"48",157,19,1,"704","commuting","false",-0.461,1
"49",157,22,1,"723","kilometers","false",-0.387,1
"50",157,27,1,"602","lipstick","false",-0.855,1
"51",157,29,1,"666","contentious","false",-0.608,1
"52",157,30,1,"537","streets","false",-1.107,1
"53",157,33,1,"622","pilfer","false",-0.778,1
"54",157,35,1,"618","Lucy","false",-0.794,1
"55",157,36,1,"1,034","blabbermouth","false",0.817,1
"56",157,37,1,"763","skateboard","false",-0.232,1
"57",157,38,1,"741","diagnosticians","false",-0.317,1
"58",157,41,1,"614","cull","false",-0.809,1
"59",157,44,1,"756","Faust","false",-0.259,1
"60",157,46,1,"790","geyser","false",-0.128,1
"61",157,48,1,"748","sheered","false",-0.29,1
"62",157,50,1,"578","seminal","false",-0.948,1
"63",157,51,1,"721","exercising","false",-0.395,1
"64",157,52,1,"600","movie","false",-0.863,1
"65",157,54,1,"495","lends","false",-1.27,1
"66",157,56,1,"621","deplore","false",-0.782,1
"67",157,61,1,"605","prescribes","false",-0.844,1
"68",157,66,1,"806","intermediate","false",-0.066,1
"69",157,70,1,"1,035","contingent","false",0.821,1
"70",157,72,1,"698","vaporize","false",-0.484,1
"71",157,74,1,"498","bats","false",-1.258,1
"72",157,75,1,"543","drooping","false",-1.084,1
"73",157,76,1,"771","disapprobation","false",-0.201,1
"74",157,77,1,"537","extremes","false",-1.107,1
"75",157,78,1,"400","bubbly","false",-1.637,1
"76",157,79,1,"516","responsibilities","false",-1.188,1
"77",157,80,1,"367","infinitive","false",-1.765,1
"78",157,81,1,"294","citadel","false",-2.048,1
"79",157,84,1,"432","middles","false",-1.514,1
"80",157,86,1,"965","enmities","false",0.55,1
"81",157,87,1,"606","confound","false",-0.84,1
"82",157,88,1,"475","mapping","false",-1.347,1
