fullDisplayName,category,assessment,columnHeader,description
Subject,Subject Information,Demographics,Subject,HCP Subject ID
Quarter Released,Subject Information,Demographics,Release,HCP data release in which this subject's data was initially published to ConnectomeDB.   Note: 'Release' does not indicate the version of the pipelines used to process subject data. Check the release-notes distributed with each processed dataset for pipeline version information.
Acquisition Quarter,Subject Information,Demographics,Acquisition,Quarter in which this subject's data was initially acquired.
Gender,Subject Information,Demographics,Gender,Gender of Subject
Age Range,Subject Information,Demographics,Age,"Age group of Participant, banded in five-year increments."
Age Range,Subject Information,Demographics,Age,Age group of Participant.
Age Range,Subject Information,Demographics,Age,Age group of Participant.
Age in Years,Subject Information,Demographics,Age_in_Yrs,Age of Participant in Years
HasGT,Subject Information,Demographics,HasGT,"Genotyping data available from at least one of the 2 gene chips used: (1) Illumina Mega Chip plus content from the Illumina ImmunoArray and PsychArray; (2) Illumina Neuro Consortium Array.   Family structure (i.e., Mother_ID and Father_ID) is genetically verified for pairs of siblings (includings twins and half-silbings) for whom HasGT=TRUE"
ZygositySR,Subject Information,Demographics,ZygositySR,"Self-reported zygosity. Until the S1200 release this was the \Zygosity\"" measure. The small number of subjects who do not have a value for this measure (blank) self reported as twins but did not self report their twin zygosity."""
ZygosityGT,Subject Information,Demographics,ZygosityGT,"Twin zygosity verified by genotyping. Requires both subjects in a twin pair to have HasGT=TRUE to have a value (if genotyping is not available for either of a twin pair, no values are given for ZygosityGT).  Non-twin subjects also do not have a value for ZygosityGT.  Note that some subjects self-reported as dizygotic twins (ZygositySR='NotMZ') but genotyping established that they were monozygotic twins (thence ZygosityGT='MZ' for those subjects).  ZygosityGT should be given precedence over ZygositySR."
FamilyID,Subject Information,Demographics,Family_ID,Lists all Mother_IDs and Father_IDs associated with subjects who share at least one parent. Family_ID does not indicate that siblings grew up in the same household/rearing environment.
Mother ID,Subject Information,Demographics,Mother_ID,"Mother's study ID, based on genotyping between sibling subjects that both have HasGT=TRUE, otherwise is based on self report. Prior to the S1200 release, Mother_ID was based strictly on self-report.  Mother_IDs that have been changed in the S1200 release based on the genotyping released have a 999xx ID number"
Father ID,Subject Information,Demographics,Father_ID,"Father's study ID, based on genotyping between sibling subjects that both have HasGT=TRUE, otherwise is based on self report. Prior to the S1200 release, Father_ID was based strictly on self-report.  Father_IDs that have been changed in the S1200 release based on the genotyping released have a 999xx ID number"
TestRetestInterval,Subject Information,Demographics,TestRetestInterval,"Time interval in days between the first scan session of subject's study \Test\"" visit in the main HCP project and the first scan session of their \""Retest\"" visit."""
Race,Subject Information,Demographics,Race,Self reported racial identification
Ethnicity,Subject Information,Demographics,Ethnicity,Self reported ethnicity
Handedness,Subject Information,Demographics,Handedness,"Handedness of participant from -100 to 100 assessed using the Edinburgh Handedness questionnaire [Oldfield RC (1971). The assessment and analysis of handedness: The Edinburgh inventory. Neuropsychologia, 9(1): 97-113.]. Negative numbers indicate that a subject is more left-handed than right-handed, while positive numbers indicate that a subject is more right-handed than left-handed. See Schachter et al., Associations of handedness with hair color and learning disabilities. Neuropsychologia, 25:269-276, 1987. for more information on how these laterality scores are calculated."
Employment Status,Subject Information,Demographics,SSAGA_Employ,"Participant's employment status: not working = 0, part-time employment = 1; full-time employment = 2"
Household Income,Subject Information,Demographics,SSAGA_Income,"Total household income: <$10,000 = 1,10K-19,999 = 2, 20K-29,999 = 3,30K-39,999 = 4, 40K-49,999 = 5, 50K-74,999 = 6, 75K-99,999 = 7, >=100,000 = 8"
Education,Subject Information,Demographics,SSAGA_Educ,Years of education completed: <11 = 11; 12; 13; 14; 15; 16; 17+ = 17
Still in School,Subject Information,Demographics,SSAGA_InSchool,Is respondent still in school for degree course? no = 0; yes = 1
Relationship Status,Subject Information,Demographics,SSAGA_Rlshp,Is respondent married or in live-in relationship? no = 0; yes = 1
Missouri Born,Subject Information,Demographics,SSAGA_MOBorn,Is respondent Missouri born? no = 0; yes = 1
Full 3T Imaging Protocol Completed,Study Completion,Study Completion: 3T MR,3T_Full_MR_Compl,"Full HCP 3T MRI protocol was completed, all scans, all timepoints (True or False)"
T1 Scan Count,Study Completion,Study Completion: 3T MR,T1_Count,Number of T1 scans collected
T2 Scan Count,Study Completion,Study Completion: 3T MR,T2_Count,Number of T2 scans collected
