"","trending_date","title","channel_title","category_id","publish_time","tags","views","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","video_error_or_removed"
"1","17.14.11","Roy Moore & Jeff Sessions Cold Open - SNL","Saturday Night Live",24,"2017-11-12T05:37:17.000Z","SNL|Saturday Night Live|SNL Season 43|Episode 1730|Tiffany Haddish|Roy Moore|Mikey Day|Mike Pence|Beck Bennett|Jeff Sessions|Kate McKinnon|s43|s43e5|episode 5|live|new york|comedy|sketch|funny|hilarious|late night|host|music|guest|laugh|impersonation|actor|improv|musician|comedian|actress|If Loving You Is Wrong|Oprah Winfrey|OWN|Girls Trip|The Carmichael Show|Keanu|Taylor Swift|Reputation|Look What You Made Me Do|ready for it?|cold open",2103417,15993,2445,1970,"https://i.ytimg.com/vi/39idVpFF7NQ/default.jpg","False","False","False"
"2","17.14.11","Ed Sheeran - Perfect (Official Music Video)","Ed Sheeran",10,"2017-11-09T11:04:14.000Z","edsheeran|ed sheeran|acoustic|live|cover|official|remix|official video|lyrics|session",33523622,1634124,21082,85067,"https://i.ytimg.com/vi/2Vv-BfVoq4g/default.jpg","False","False","False"
"3","17.14.11","Stephen A. Smith slams the Philadelphia 76ers for its 'Trust The Process' | First Take | ESPN","ESPN",17,"2017-11-08T15:59:06.000Z","espn|espn live|first take|first take espn|espn first take|first take daily|first take today|nba first take|first take nba|first take stephen a smith|stephen a smith|stephen a. smith|stephen a smith rant|76ers|joel embiid|trust the process|stephen a smith 76ers|stephen a smith nba rant|nba|basketball",470191,4037,430,1553,"https://i.ytimg.com/vi/agKDPntMv-E/default.jpg","False","False","False"
"4","17.15.11","Stephen A. Smith: Jay Cutler is a 'disease' | First Take | ESPN","ESPN",17,"2017-11-14T16:28:34.000Z","espn|espn live|stephen a smith|stephen a. smith|jay cutler|first take|first take espn|espn first take|first take daily|first take nfl|nfl first take|stephen a smith jay cutler|jay cutler stephen a smith|first take jay cutler|miami dolphins|dolphins qb|miami qb|nfl|football|stephen a smith rant",200235,1197,108,627,"https://i.ytimg.com/vi/KJ12FVmumeA/default.jpg","False","False","False"
"5","17.15.11","Roy Moore & Jeff Sessions Cold Open - SNL","Saturday Night Live",24,"2017-11-12T05:37:17.000Z","SNL|Saturday Night Live|SNL Season 43|Episode 1730|Tiffany Haddish|Roy Moore|Mikey Day|Mike Pence|Beck Bennett|Jeff Sessions|Kate McKinnon|s43|s43e5|episode 5|live|new york|comedy|sketch|funny|hilarious|late night|host|music|guest|laugh|impersonation|actor|improv|musician|comedian|actress|If Loving You Is Wrong|Oprah Winfrey|OWN|Girls Trip|The Carmichael Show|Keanu|Taylor Swift|Reputation|Look What You Made Me Do|ready for it?|cold open",2472569,17959,2863,2690,"https://i.ytimg.com/vi/39idVpFF7NQ/default.jpg","False","False","False"
"6","17.15.11","Ed Sheeran - Perfect (Official Music Video)","Ed Sheeran",10,"2017-11-09T11:04:14.000Z","edsheeran|ed sheeran|acoustic|live|cover|official|remix|official video|lyrics|session",39082222,1721383,23137,90352,"https://i.ytimg.com/vi/2Vv-BfVoq4g/default.jpg","False","False","False"
"7","17.16.11","Stephen A. Smith: Jay Cutler is a 'disease' | First Take | ESPN","ESPN",17,"2017-11-14T16:28:34.000Z","espn|espn live|stephen a smith|stephen a. smith|jay cutler|first take|first take espn|espn first take|first take daily|first take nfl|nfl first take|stephen a smith jay cutler|jay cutler stephen a smith|first take jay cutler|miami dolphins|dolphins qb|miami qb|nfl|football|stephen a smith rant",281868,1546,245,885,"https://i.ytimg.com/vi/KJ12FVmumeA/default.jpg","False","False","False"
"8","17.16.11","Roy Moore & Jeff Sessions Cold Open - SNL","Saturday Night Live",24,"2017-11-12T05:37:17.000Z","SNL|Saturday Night Live|SNL Season 43|Episode 1730|Tiffany Haddish|Roy Moore|Mikey Day|Mike Pence|Beck Bennett|Jeff Sessions|Kate McKinnon|s43|s43e5|episode 5|live|new york|comedy|sketch|funny|hilarious|late night|host|music|guest|laugh|impersonation|actor|improv|musician|comedian|actress|If Loving You Is Wrong|Oprah Winfrey|OWN|Girls Trip|The Carmichael Show|Keanu|Taylor Swift|Reputation|Look What You Made Me Do|ready for it?|cold open",2567518,18425,2950,2776,"https://i.ytimg.com/vi/39idVpFF7NQ/default.jpg","False","False","False"
"9","17.16.11","Ed Sheeran - Perfect (Official Music Video)","Ed Sheeran",10,"2017-11-09T11:04:14.000Z","edsheeran|ed sheeran|acoustic|live|cover|official|remix|official video|lyrics|session",43449654,1788960,24548,93428,"https://i.ytimg.com/vi/2Vv-BfVoq4g/default.jpg","False","False","False"
"10","17.17.11","NBA Countdown debates if Ben Simmons is the best all-around rookie ever | NBA Countdown | ESPN","ESPN",17,"2017-11-16T03:16:52.000Z","espn|espn live|nba countdown|nba|basketball|ben simmons|ben simmons rookie|ben simmons highlights|ben simmons nba countdown|ben simmons espn|sixers|76ers|philadelphia 76ers|best rookies|nba rookies|rookie highlights|best nba highlights|nba espn|espn nba",113926,1026,37,333,"https://i.ytimg.com/vi/uN9zBcweN4M/default.jpg","False","False","False"
